Country Name,Country Code,Indicator Name,Indicator Code,1970,1980,1990,2000,2010,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Land area (sq. km),AG.LND.TOTL.K2,180,180,180,180,180,180,180,180,180,180,180,180
Africa Eastern and Southern,AFE,Land area (sq. km),AG.LND.TOTL.K2,14571611,14571611,14571611,14571611,14720957.06,14845106.13,14845113.97,14845102.05,14845117.14,14845129.4,14845090.09,14845090.09
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230
Africa Western and Central,AFW,Land area (sq. km),AG.LND.TOTL.K2,9046580,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045773,9045773
Angola,AGO,Land area (sq. km),AG.LND.TOTL.K2,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400
Andorra,AND,Land area (sq. km),AG.LND.TOTL.K2,470,470,470,470,470,470,470,470,470,470,470,470
Arab World,ARB,Land area (sq. km),AG.LND.TOTL.K2,13611451,13611411,13611411,13611431,13608823,13100528,13100529,13100530,13100528,13100544,13100549,13100559
United Arab Emirates,ARE,Land area (sq. km),AG.LND.TOTL.K2,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020
Argentina,ARG,Land area (sq. km),AG.LND.TOTL.K2,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690
Armenia,ARM,Land area (sq. km),AG.LND.TOTL.K2,,,,28470,28470,28470,28470,28470,28470,28470,28470,28470
American Samoa,ASM,Land area (sq. km),AG.LND.TOTL.K2,200,200,200,200,200,200,200,200,200,200,200,200
Antigua and Barbuda,ATG,Land area (sq. km),AG.LND.TOTL.K2,440,440,440,440,440,440,440,440,440,440,440,440
Australia,AUS,Land area (sq. km),AG.LND.TOTL.K2,7682300,7682300,7682300,7682300,7682300,7682300,7692020,7692020,7692020,7692020,7692020,7692020
Austria,AUT,Land area (sq. km),AG.LND.TOTL.K2,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520
Azerbaijan,AZE,Land area (sq. km),AG.LND.TOTL.K2,,,,82605,82656,82663,82670,82662,82654,82654,82646,82650
Burundi,BDI,Land area (sq. km),AG.LND.TOTL.K2,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680
Belgium,BEL,Land area (sq. km),AG.LND.TOTL.K2,,,,30280,30280,30280,30280,30280,30280,30280,30280,30280
Benin,BEN,Land area (sq. km),AG.LND.TOTL.K2,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760
Burkina Faso,BFA,Land area (sq. km),AG.LND.TOTL.K2,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600
Bangladesh,BGD,Land area (sq. km),AG.LND.TOTL.K2,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170
Bulgaria,BGR,Land area (sq. km),AG.LND.TOTL.K2,110630,110630,110630,110630,108560,108560,108560,108560,108560,108560,108560,108560
Bahrain,BHR,Land area (sq. km),AG.LND.TOTL.K2,690,690,690,710,762,778,779,780,778,780,785,790
"Bahamas, The",BHS,Land area (sq. km),AG.LND.TOTL.K2,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010
Bosnia and Herzegovina,BIH,Land area (sq. km),AG.LND.TOTL.K2,,,,51200,51200,51200,51200,51200,51200,51200,51200,51200
Belarus,BLR,Land area (sq. km),AG.LND.TOTL.K2,,,,202848,202902,202978,202988,202988,202980,202965,202980,202950
Belize,BLZ,Land area (sq. km),AG.LND.TOTL.K2,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810
Bermuda,BMU,Land area (sq. km),AG.LND.TOTL.K2,54,54,54,54,54,54,54,54,54,54,54,54
Bolivia,BOL,Land area (sq. km),AG.LND.TOTL.K2,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300
Brazil,BRA,Land area (sq. km),AG.LND.TOTL.K2,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140
Barbados,BRB,Land area (sq. km),AG.LND.TOTL.K2,430,430,430,430,430,430,430,430,430,430,430,430
Brunei Darussalam,BRN,Land area (sq. km),AG.LND.TOTL.K2,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270
Bhutan,BTN,Land area (sq. km),AG.LND.TOTL.K2,46723,46723,46723,39800,38117,38117,38144,38144,38140,38140,38140,38140
Botswana,BWA,Land area (sq. km),AG.LND.TOTL.K2,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730
Central African Republic,CAF,Land area (sq. km),AG.LND.TOTL.K2,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980
Canada,CAN,Land area (sq. km),AG.LND.TOTL.K2,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8788700
Central Europe and the Baltics,CEB,Land area (sq. km),AG.LND.TOTL.K2,737240,737170,736140,1104969,1104143.2,1105835.6,1105825,1105100.1,1105067.4,1104992.9,1105004.93,1104953.23
Switzerland,CHE,Land area (sq. km),AG.LND.TOTL.K2,39528,39528.71,39529.27,39523.581,39513.225,39510.23,39509.63,39509.63,39509.63,39509.63,39509.63,39509.63
Channel Islands,CHI,Land area (sq. km),AG.LND.TOTL.K2,198,198,198,198,198,198,198,198,198,198,198,198
